Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,CIS*3490*0105 (1765) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Fri 11:30AM - 01:20PM; MCKN; Room 228,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0106 (1766) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Fri 09:30AM - 11:20AM; MCKN; Room 226,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0107 (1767) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Fri 02:30PM - 04:20PM; MCKN; Room 226,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3700*0101 (1768) Intro to Intelligent Systems,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCKN; Room 223LAB Mon 08:30AM - 09:20AM; GRHM; Room 2310,TBA  TBA,60  /  60,0.50,Undergraduate
Winter 2023,Open,CIS*3750*0101 (1769) Syst Analysis ,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCLN; Room 102LAB Wed 01:30PM - 03:20PM; THRN; Room 2420,M. Wineberg,10  /  10,0.75,Undergraduate
Winter 2023,Open,CIS*3750*0102 (1770) Syst Analysis ,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCLN; Room 102LAB Wed 11:30AM - 01:20PM; THRN; Room 2420,M. Wineberg,10  /  10,0.75,Undergraduate
Winter 2023,Open,CIS*3750*0103 (1771) Syst Analysis ,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCLN; Room 102LAB Mon 02:30PM - 04:20PM; THRN; Room 2420,M. Wineberg,10  /  10,0.75,Undergraduate
Winter 2023,Open,CIS*3750*0104 (1772) Syst Analysis ,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCLN; Room 102LAB Mon 11:30AM - 01:20PM; THRN; Room 2420,M. Wineberg,10  /  10,0.75,Undergraduate
Winter 2023,Open,CIS*3760*0101 (1773) Software Engineering,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; ROZH; Room 102LAB Wed 03:30PM - 05:20PM; THRN; Room 2420,J. McCuaig,15  /  15,0.75,Undergraduate
Winter 2023,Open,CIS*3760*0102 (1774) Software Engineering,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; ROZH; Room 102LAB Tues 12:30PM - 02:20PM; THRN; Room 2420,J. McCuaig,15  /  15,0.75,Undergraduate
Winter 2023,Open,CIS*3760*0103 (1775) Software Engineering,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; ROZH; Room 102LAB Tues 02:30PM - 04:20PM; THRN; Room 2420,J. McCuaig,15  /  15,0.75,Undergraduate
Winter 2023,Open,CIS*4010*01 (1776) Cloud Computing,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; THRN; Room 1307,D. Stacey,40  /  40,0.50,Undergraduate
Winter 2023,Open,CIS*4030*01 (1777) Mobile Computing,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; MCKN; Room 120,D. Flatla,40  /  40,0.50,Undergraduate
Winter 2023,Open,CIS*4250*01 (1778) Software Design V,Guelph,LAB Tues; Thur 08:30AM - 09:50AM; THRN; Room 2420LAB Tues; Thur 10:00AM - 11:20AM; THRN; Room 2420,S. Scott,70  /  70,0.50,Undergraduate
Winter 2023,Open,CIS*4520*0101 (1779) Introduction to Cryptography,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; CRSC; Room 116LAB Wed 11:30AM - 01:20PM; THRN; Room 2418,C. Obimbo,15  /  15,0.50,Undergraduate
Winter 2023,Open,CIS*4520*0102 (1780) Introduction to Cryptography,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; CRSC; Room 116LAB Mon 12:30PM - 02:20PM; THRN; Room 2418,C. Obimbo,15  /  15,0.50,Undergraduate
Winter 2023,Open,CIS*4650*0101 (1781) Compilers,Guelph,LEC Mon; Wed; Fri 08:30AM - 09:20AM; THRN; Room 1307LAB Fri 11:30AM - 12:20PM; MACS; Room 209,F. Song,50  /  50,0.50,Undergraduate
Winter 2023,Open,CIS*4720*0101 (1782) Image Processing ,Guelph,LEC Mon; Wed; Fri 10:30AM - 11:20AM; MCKN; Room 121LAB Fri 01:30PM - 02:20PM; MCKN; Room 029,P. Matsakis,40  /  40,0.50,Undergraduate
Winter 2023,Open,CIS*4820*0101 (1783) Game Programming,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCKN; Room 121LAB Fri 12:30PM - 01:20PM; MCKN; Room 121,D. Nikitenko,40  /  40,0.50,Undergraduate
Winter 2023,Open,CIS*4900*01 (1784) Computer Science Project,Guelph,LAB Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,30  /  30,0.50,Undergraduate
Winter 2023,Open,CIS*4910*01 (1785) Computer Science Thesis,Guelph,LAB Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,30  /  30,0.50,Undergraduate
Winter 2023,Open,CIS*6170*01 (1786) Human-Computer Interaction,Guelph,LEC Mon 11:30AM - 02:20PM; REYN; Room 1101,S. Scott,21  /  24,0.50,Graduate
Winter 2023,Open,CIS*6180*01 (1787) Analysis of Big Data,Guelph,LEC Mon 02:30PM - 05:20PM; MCKN; Room 224,TBA  TBA,8  /  24,0.50,Graduate
Winter 2023,Open,CIS*6190*01 (1788) Machine Learning for Sequences,Guelph,LEC Wed 02:30PM - 05:20PM; MCKN; Room 225,N. Bruce,17  /  24,0.50,Graduate
Winter 2023,Open,CIS*6520*01 (1789) Dig Forensics ,Guelph,LEC Thur 02:30PM - 05:20PM; Room TBA Room TBA,X. Lin,37  /  50,0.50,Graduate
Winter 2023,Open,CIS*6540*01 (1790) Penetration Test ,Guelph,LEC Tues 02:30PM - 05:20PM; Room TBA Room TBA,H. Khan,39  /  50,0.50,Graduate
Winter 2023,Open,CIS*6590*01 (1791) Prof Seminar in Cybersecurity,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,X. Lin,39  /  50,0.50,Graduate
Winter 2023,Open,CIS*6650*01 (1792) Topics in Computer Science I,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; REYN; Room 1101,D. Flatla,23  /  24,0.50,Graduate
Winter 2023,Open,CIS*6890*01 (1793) Tech Comm ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; REYN; Room 1101,J. Sawada,33  /  40,0.50,Graduate
