Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,ANSC*2210*0105 (1115) Animal Care and Welfare,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACS; Room 209SEM Thur 05:30PM - 06:50PM; MCKN; Room 119,R. Bergeron,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*2340*01 (1116) Structure of Farm Animals,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; THRN; Room 1200,M. Duarte,280  /  280,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0101 (1117) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Tues 10:00AM - 11:20AM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0102 (1118) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Tues 11:30AM - 12:50PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0103 (1119) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Tues 01:00PM - 02:20PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0104 (1120) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Tues 02:30PM - 03:50PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0105 (1121) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Tues 04:00PM - 05:20PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0106 (1122) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Thur 10:00AM - 11:20AM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0107 (1123) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Thur 11:30AM - 12:50PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0108 (1124) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Thur 01:00PM - 02:20PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0109 (1125) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Thur 02:30PM - 03:50PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3040*0110 (1126) Animal Reproduction,Guelph,LEC Mon; Wed; Fri 11:30AM - 12:20PM; ROZH; Room 101LAB Thur 04:00PM - 05:20PM; ANNU; Room 110,E. De Souza Ribeiro,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*3170*01 (1127) Nutrition of Fish ,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCKN; Room 116,D. Bureau,78  /  78,0.50,Undergraduate
Winter 2023,Open,ANSC*3170*02 (1128) Nutrition of Fish ,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; AD-S; Room VIRTUAL,D. Bureau,20  /  20,0.50,Undergraduate
Winter 2023,Open,ANSC*3180*01 (1129) Wildlife Nutrition,Guelph,LEC Mon; Wed; Fri 12:30PM - 01:20PM; ROZH; Room 101,TBA  TBA,300  /  300,0.50,Undergraduate
Winter 2023,Open,ANSC*3270*01 (1130) Animal Disorders,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; MACN; Room 105,N. Karrow,250  /  250,0.50,Undergraduate
Winter 2023,Open,ANSC*4090*01 (1131) Applied Animal Behaviour,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MACS; Room 209,T. Widowski,100  /  100,0.50,Undergraduate
Winter 2023,Open,ANSC*4100*01 (1132) Appl Env Physio/Animal Housing,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; ROZH; Room 103,V. Osborne,180  /  180,0.50,Undergraduate
Winter 2023,Closed,ANSC*4260*0101 (1133) Beef Cattle Nutrition,Guelph,LEC Mon; Wed 10:30AM - 11:20AM; ANNU; Room 102LAB Fri 02:30PM - 05:20PM; ANNU; Room 102,K. Wood,0  /  0,0.50,Undergraduate
Winter 2023,Open,ANSC*4350*01 (1134) Experiments in Animal Biology,Guelph,LAB Tues 02:30PM - 05:20PM; ANNU; Room 030,J. Squires,20  /  20,0.50,Undergraduate
Winter 2023,Open,ANSC*4470*01 (1135) Animal Metabolism,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; MINS; Room 106,J. Cant,60  /  60,0.50,Undergraduate
Winter 2023,Open,ANSC*4490*01 (1136) Applied Endocrinology,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ANNU; Room 156,J. Squires,90  /  90,0.50,Undergraduate
Winter 2023,Open,ANSC*4610*01 (1137) Critical Analysis in ANSC,Guelph,LEC Thur 02:30PM - 05:20PM; ANNU; Room 030,M. Fan,20  /  20,0.50,Undergraduate
Winter 2023,Open,ANSC*4650*01 (1138) Comparative Immunology,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; GRHM; Room 2310,N. Karrow,60  /  60,0.50,Undergraduate
Winter 2023,Open,ANSC*4700*01 (1139) Research in Animal Biology I,Guelph,LAB Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,J. Li,25  /  25,0.50,Undergraduate
Winter 2023,Open,ANSC*4710*01 (1140) Research in Animal Biology II,Guelph,LAB Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,J. Li,25  /  25,0.50,Undergraduate
Winter 2023,Open,ANSC*6100*0101 (1141) ST:Machine Learning Modelling,Guelph,LEC Fri 02:30PM - 05:20PM; MCKN; Room 034ALAB Fri 09:30AM - 11:20AM; MCKN; Room 342,D. Tulpan,10  /  15,0.50,Graduate
Winter 2023,Open,ANSC*6100*02 (1142) Special Project,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,N. Karrow,20  /  20,0.50,Graduate
Winter 2023,Open,ANSC*6210*01 (1144) Selection in Animal Breeding,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; ANNU; Room 101,A. Canovas,8  /  10,0.50,Graduate
Winter 2023,Open,ANSC*6240*01 (1145) Animal Genetics ,Guelph,LEC Mon 02:30PM - 05:20PM; ANNU; Room 101,A. Canovas,8  /  10,0.50,Graduate
Winter 2023,Open,ANSC*6250*01 (1146) Growth and Metabolism,Guelph,LEC Thur 02:30PM - 05:20PM; ANNU; Room 101,K. Wood,8  /  15,0.50,Graduate
Winter 2023,Open,ANSC*6360*01 (1147) Animal Nutrition Research,Guelph,LEC Fri 11:30AM - 02:20PM; ANNU; Room 241,M. Fan,7  /  8,0.50,Graduate
Winter 2023,Open,ANSC*6390*01 (1148) QTL ,Guelph,LEC Mon; Wed 01:00PM - 02:20PM; ANNU; Room 030,F. Schenkel,7  /  10,0.50,Graduate
Winter 2023,Open,ANSC*6400*01 (1149) Mammalian Reproduction,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; ANNU; Room 030,G. Bedecarrats,12  /  15,0.50,Graduate
Winter 2023,Open,ANSC*6480*01 (1150) Advanced Animal Nutrition II,Guelph,LEC Tues 02:30PM - 05:20PM; ANNU; Room 241,D. Huyben,3  /  8,0.50,Graduate
Winter 2023,Open,ANSC*6490*0101 (1151) Advanced Dairy Management,Guelph,LEC Tues; Thur 12:30PM - 01:20PM; MCKN; Room 261LAB Thur 02:30PM - 05:20PM; MCKN; Room 119,M. Steele,12  /  12,0.50,Graduate
Winter 2023,Open,ANSC*6550*01 (1152) Animal Science Meta-Analysis,Guelph,LEC Mon; Wed 10:00AM - 11:20AM; ANNU; Room 101,J. St,13  /  15,0.50,Graduate
Winter 2023,Open,ANSC*6710*01 (1153) Animal Welfare in Practice,Guelph,LEC Mon 02:30PM - 05:20PM; ANNU; Room 030,TBA  TBA,18  /  20,0.50,Graduate
Winter 2023,Open,ANSC*6720*01 (1154) Scientific Welfare Assessment,Guelph,LEC Mon 08:30AM - 11:20AM; ANNU; Room 030,TBA  TBA,16  /  20,0.50,Graduate
Winter 2023,Open,ANSC*6730*01 (1155) Appl Environmental Physiology,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,V. Osborne,9  /  12,0.50,Graduate
Winter 2023,Open,ANSC*6740*01 (1156) ST: Applied Animal Welfare,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,A. Harlander,17  /  20,0.50,Graduate
Winter 2023,Open,ANSC*6900*01 (1157) Major Paper in ANSC,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,N. Karrow,19  /  20,1.00,Graduate
Winter 2023,Open,ANTH*1120*01 (1158) Biological Anthropology,Guelph,LEC Thur 07:00PM - 09:50PM; ROZH; Room 102,T. Steffens,120  /  120,0.50,Undergraduate
Winter 2023,Open,ANTH*1150*01 (1159) Introduction to Anthropology,Guelph,LEC Wed 07:00PM - 09:50PM; WMEM; Room 103,TBA  TBA,375  /  375,0.50,Undergraduate
Winter 2023,Open,ANTH*1150*02 (1160) Introduction to Anthropology,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; WMEM; Room 103,TBA  TBA,375  /  375,0.50,Undergraduate
Winter 2023,Open,ANTH*2180*01 (1161) Public Anthropology,Guelph,LEC Tues; Thur 01:00PM - 02:20PM; ROZH; Room 103,T. Steffens,190  /  190,0.50,Undergraduate
